ds,y,yhat,yhat_lower,yhat_upper,error,uncertainty,anomaly
2015-07-04,3391.0,3206.900342611849,2562.662363446236,3800.589565720588,184.09965738815117,1237.9272022743517,No
2015-07-05,2990.0,3077.673711491031,2455.2026929010053,3672.5450524061102,-87.6737114910311,1217.342359505105,No
2015-07-06,4549.0,4750.296049237667,4136.576185213677,5324.135085240662,-201.29604923766692,1187.5589000269856,No
2015-07-07,4867.0,4979.253156272966,4374.729298975346,5589.255702069002,-112.25315627296641,1214.526403093656,No
2015-07-08,5560.0,4769.653729685924,4135.068805110644,5373.580395580204,790.3462703140758,1238.5115904695604,No
2015-07-09,7860.0,4984.662768104944,4383.450431136379,5538.480324768061,2875.337231895056,1155.0298936316822,Yes
2015-07-10,4496.0,4796.902779389328,4142.823935531034,5378.446279902206,-300.9027793893283,1235.6223443711715,No
2015-07-11,3708.0,3285.4112977043656,2704.583276850453,3897.967888231235,422.58870229563445,1193.3846113807822,No
2015-07-12,2430.0,3108.856416617413,2501.2538500473897,3720.064788075101,-678.8564166174128,1218.8109380277115,No
2015-07-13,3793.0,4618.448568679904,3985.6307753969672,5241.598654155459,-825.4485686799044,1255.9678787584921,No
2015-07-14,4600.0,4828.02313179729,4225.32011634133,5459.470190351387,-228.02313179729026,1234.1500740100573,No
2015-07-15,4188.0,4714.5291543700505,4110.51130558984,5318.207988258821,-526.5291543700505,1207.6966826689813,No
2015-07-16,4686.0,4726.933045060251,4155.454844541789,5313.6920342933545,-40.93304506025106,1158.237189751566,No
2015-07-17,4204.0,4342.401158323972,3745.384256652367,4923.323599200066,-138.40115832397169,1177.9393425476992,No
2015-07-18,3491.0,2794.5952603682863,2192.7948439373663,3444.700687466516,696.4047396317137,1251.9058435291495,No
2015-07-19,3286.0,2895.43983695559,2326.8270448385774,3470.3829772092654,390.5601630444098,1143.555932370688,No
2015-07-20,4223.0,4332.110772247135,3732.551712739316,4951.367700475098,-109.11077224713517,1218.815987735782,No
2015-07-21,4753.0,4665.209704705747,4103.834211693198,5291.533536732586,87.79029529425316,1187.699325039388,No
2015-07-22,4654.0,4429.191892109707,3805.776316613352,5061.727369020515,224.8081078902933,1255.951052407163,No
2015-07-23,4536.0,4361.364674059502,3779.592028284176,4964.970564481626,174.63532594049775,1185.3785361974496,No
2015-07-24,3524.0,3807.0101446125504,3180.9819091992085,4421.406289545502,-283.01014461255045,1240.4243803462932,No
2015-07-25,3105.0,2528.364580312791,1919.482194370643,3168.091998665197,576.6354196872089,1248.6098042945541,No
2015-07-26,1069.0,2494.416113518595,1878.894909647241,3086.713959909775,-1425.416113518595,1207.819050262534,No
2015-07-27,3903.0,4358.369420984771,3734.933447537043,4898.784396468468,-455.36942098477084,1163.8509489314251,No
2015-07-28,4471.0,4557.884652269496,3964.579806401672,5195.810504459856,-86.88465226949575,1231.2306980581839,No
2015-07-29,4457.0,4504.392514732529,3885.671197834346,5125.086212579037,-47.39251473252898,1239.4150147446912,No
2015-07-30,4268.0,4544.696433622173,3968.136750297484,5121.864933509517,-276.69643362217266,1153.728183212033,No
2015-07-31,3993.0,4380.228057264952,3785.639621517802,4964.289220321101,-387.22805726495244,1178.6495988032993,No
2015-08-01,4175.0,3044.870598526887,2426.206987317152,3652.789790048442,1130.129401473113,1226.5828027312896,No
2015-08-02,3881.0,3275.667504874746,2731.355402579482,3954.42812322821,605.3324951252539,1223.0727206487281,No
2015-08-03,4179.0,4842.0286209976,4253.883758321773,5470.229339781838,-663.0286209976002,1216.3455814600647,No
2015-08-04,4611.0,4899.290953436777,4317.350216307103,5519.100331467574,-288.2909534367773,1201.7501151604702,No
2015-08-05,4436.0,4830.581556237204,4238.288578068452,5455.9247493429575,-394.5815562372036,1217.6361712745056,No
2015-08-06,7208.0,4897.419724157292,4279.221564166393,5488.89284002003,2310.580275842708,1209.6712758536369,Yes
2015-08-07,4300.0,4625.557503698289,4011.854871587927,5205.371700770664,-325.5575036982891,1193.5168291827367,No
2015-08-08,3556.0,3158.892687201645,2537.5710401347405,3732.843464446873,397.107312798355,1195.2724243121324,No
2015-08-09,3688.0,3315.988776124487,2717.348327982599,3943.994012115933,372.0112238755132,1226.6456841333338,No
2015-08-10,4269.0,4711.18682471517,4121.445420609705,5305.247258983908,-442.1868247151697,1183.8018383742028,No
2015-08-11,4384.0,4733.628313861895,4125.806131197014,5347.038265825029,-349.62831386189464,1221.232134628015,No
2015-08-12,4282.0,4661.637601984412,4017.073856403758,5226.04098426709,-379.63760198441196,1208.9671278633318,No
2015-08-13,3923.0,4623.995130421417,4058.606703873229,5204.658595796141,-700.9951304214173,1146.0518919229116,No
2015-08-14,3528.0,4280.161425040655,3702.8145739793017,4899.932698910365,-752.1614250406546,1197.118124931063,No
2015-08-15,3091.0,2675.223909942736,2061.496791798204,3311.7708962732627,415.7760900572639,1250.2741044750587,No
2015-08-16,2828.0,2740.2038587676616,2121.636109460835,3349.903366687906,87.79614123233841,1228.2672572270708,No
2015-08-17,4263.0,4343.044574097966,3737.744078548152,4956.814957224948,-80.04457409796578,1219.0708786767955,No
2015-08-18,4418.0,4363.397763706627,3754.1165631250055,4949.367851450677,54.6022362933727,1195.2512883256718,No
2015-08-19,4502.0,4377.046618944945,3804.618115548779,4975.774398555672,124.9533810550547,1171.1562830068929,No
2015-08-20,4002.0,4326.592974793349,3756.8505635849306,4923.687351243448,-324.59297479334873,1166.836787658517,No
2015-08-21,3950.0,4160.112939875359,3571.8427057790464,4791.592447412199,-210.1129398753592,1219.749741633153,No
2015-08-22,3999.0,2896.599280608584,2301.956821584141,3506.423757528375,1102.4007193914158,1204.4669359442341,No
2015-08-23,2579.0,2401.17612883122,1774.059361237708,3022.8057814658086,177.82387116878,1248.7464202281008,No
2015-08-24,3077.0,3715.880504912733,3124.614347132353,4307.94377406507,-638.8805049127332,1183.329426932717,No
2015-08-25,4440.0,3977.271091594484,3361.5850144505453,4560.630711167335,462.728908405516,1199.0456967167897,No
2015-08-26,3629.0,3976.459942413738,3329.604460590421,4578.946053784658,-347.4599424137382,1249.3415931942372,No
2015-08-27,3846.0,3942.225467001736,3323.9923386192136,4585.671703082003,-96.22546700173598,1261.6793644627892,No
2015-08-28,3486.0,3664.5557289354138,3044.246535493773,4219.179697408598,-178.55572893541375,1174.9331619148252,No
2015-08-29,2524.0,2348.952539009557,1740.493894746416,2958.450516477386,175.04746099044314,1217.95662173097,No
2015-08-30,2257.0,2393.186439121913,1817.3261455198424,3024.78973976083,-136.18643912191283,1207.4635942409875,No
2015-08-31,1001.0,1472.6235731120069,877.6705911034097,2044.169219249776,-471.62357311200685,1166.4986281463662,No
2015-09-01,3658.0,4057.591909050243,3395.051623306968,4660.4867524804295,-399.591909050243,1265.4351291734615,No
2015-09-02,4271.0,3964.4777038140855,3350.3123792055567,4558.196616343584,306.52229618591446,1207.884237138027,No
2015-09-03,4324.0,3961.401434567305,3409.2602869769016,4548.1455784561285,362.59856543269507,1138.885291479227,No
2015-09-04,3964.0,3575.5187064428087,3012.57225120899,4171.110854382573,388.4812935571913,1158.538603173583,No
2015-09-05,1994.0,2192.508661794587,1635.2861935355595,2852.647989128807,-198.50866179458717,1217.3617955932473,No
2015-09-06,2903.0,2519.758308233276,1940.327659322478,3135.533453920028,383.2416917667242,1195.20579459755,No
2015-09-07,4302.0,4072.32834666855,3478.1170425917544,4696.323005291093,229.67165333145022,1218.2059626993387,No
2015-09-08,4557.0,4290.613622337302,3659.0530138180216,4920.867919278775,266.38637766269767,1261.8149054607534,No
2015-09-09,4578.0,4432.478328919418,3844.7683509436097,5023.301938081674,145.52167108058165,1178.5335871380644,No
2015-09-10,4702.0,4500.792093349877,3869.972684246943,5106.781781013101,201.20790665012282,1236.8090967661578,No
2015-09-11,4286.0,4125.508061449341,3515.1903400423275,4718.745811259369,160.49193855065914,1203.555471217041,No
2015-09-12,2782.0,2733.85678704815,2138.068039043319,3315.978884766043,48.14321295184982,1177.910845722724,No
2015-09-13,2549.0,2571.178198084844,1961.7743476280357,3135.5488295226683,-22.178198084844098,1173.7744818946326,No
2015-09-14,3971.0,4205.849182870928,3607.2943496918056,4828.620096423296,-234.84918287092842,1221.3257467314902,No
2015-09-15,3952.0,4422.92963041665,3809.1654177647542,5091.972707707508,-470.92963041665007,1282.8072899427534,No
2015-09-16,4176.0,4139.919215324607,3548.331120139821,4781.291252525362,36.08078467539326,1232.9601323855413,No
2015-09-17,4413.0,4311.831400808409,3680.881752130912,4940.986110333948,101.16859919159106,1260.104358203036,No
2015-09-18,4009.0,3937.197520027362,3367.3845616530075,4563.141584248367,71.80247997263814,1195.757022595359,No
2015-09-19,3286.0,2567.3104200184302,1958.0637434472692,3189.214454376315,718.6895799815698,1231.150710929046,No
2015-09-20,3026.0,2728.16375190712,2112.528767034661,3294.254344992171,297.83624809287994,1181.7255779575098,No
2015-09-21,4388.0,4128.348638527564,3486.5182371563787,4710.908999336866,259.6513614724363,1224.3907621804874,No
2015-09-22,3002.0,4271.574334996857,3692.2788899904094,4861.790574729885,-1269.574334996857,1169.5116847394752,No
2015-09-23,4553.0,4447.942509941824,3881.874753690157,5055.554248595478,105.05749005817597,1173.6794949053215,No
2015-09-24,3732.0,4500.063459086765,3863.166419321924,5108.949306696803,-768.0634590867649,1245.7828873748795,No
2015-09-25,4214.0,4117.305610391775,3569.988997351634,4691.814155066515,96.69438960822481,1121.8251577148808,No
2015-09-26,3086.0,2690.562469807662,2142.285585103971,3320.4810525898715,395.4375301923378,1178.1954674859007,No
2015-09-27,2866.0,2841.8710893948355,2255.8917874220424,3462.4003509088566,24.128910605164492,1206.5085634868142,No
2015-09-28,4498.0,4408.7681035311625,3860.419992415432,5027.327468624307,89.23189646883748,1166.9074762088749,No
2015-09-29,4798.0,4645.440494373901,4087.1041453049256,5246.634028341384,152.55950562609905,1159.5298830364582,No
2015-09-30,4833.0,4594.935014305221,3972.7388598535176,5137.315286544531,238.06498569477935,1164.5764266910132,No
2015-10-01,4718.0,4580.100826313929,3944.097070475929,5197.38777639668,137.89917368607075,1253.2907059207514,No
2015-10-02,4470.0,4200.7125641378425,3599.856396928475,4822.4608351599145,269.2874358621575,1222.6044382314394,No
2015-10-03,2725.0,2661.784802585619,2066.160869156301,3251.935089658008,63.21519741438078,1185.774220501707,No
2015-10-04,3011.0,2841.646558096017,2209.726267950774,3453.0036532170875,169.3534419039829,1243.2773852663136,No
2015-10-05,4334.0,4482.975252401868,3850.926366551499,5025.131320995695,-148.9752524018677,1174.2049544441961,No
2015-10-06,4325.0,4805.189273588624,4226.170359301743,5403.705584101404,-480.189273588624,1177.5352247996616,No
2015-10-07,4411.0,4562.804376596338,3969.513745949009,5198.699095399215,-151.80437659633844,1229.1853494502066,No
2015-10-08,4684.0,4579.414179579642,3987.4943026369374,5219.265662873595,104.58582042035778,1231.7713602366575,No
2015-10-09,4360.0,4290.126259104894,3678.6723379218743,4924.801872114681,69.87374089510558,1246.1295341928067,No
2015-10-10,2805.0,2798.516386477896,2194.648350092617,3412.994632669836,6.483613522103951,1218.346282577219,No
2015-10-11,2853.0,2820.442519244449,2199.2631052948573,3378.141570621417,32.55748075555084,1178.8784653265598,No
2015-10-12,4547.0,4379.756195502405,3750.472252443448,4980.34131868386,167.2438044975952,1229.869066240412,No
2015-10-13,4890.0,4503.724227837652,3913.8188635450906,5103.789875425873,386.2757721623484,1189.9710118807825,No
2015-10-14,4727.0,4423.191573844452,3812.88937981227,5023.362967323938,303.80842615554775,1210.4735875116685,No
2015-10-15,4546.0,4364.514069651804,3707.378411193415,4999.753526584925,181.48593034819623,1292.3751153915096,No
2015-10-16,4168.0,3990.1669415224783,3341.2895701892853,4604.840378817102,177.83305847752172,1263.5508086278164,No
2015-10-17,2117.0,2442.6445380860664,1838.759867981841,3034.080618507692,-325.6445380860664,1195.3207505258513,No
2015-10-18,2251.0,2542.0703611021486,1976.4202291165047,3154.6127749739862,-291.0703611021486,1178.1925458574815,No
2015-10-19,4275.0,4035.474529655228,3453.05790659383,4634.643208809357,239.5254703447722,1181.585302215527,No
2015-10-20,4699.0,4240.9080256591815,3671.126422725656,4908.901109993135,458.0919743408185,1237.7746872674788,No
2015-10-21,2775.0,4141.273633129057,3515.6158270992923,4759.329599079624,-1366.273633129057,1243.7137719803318,No
2015-10-22,4461.0,4091.912666653316,3501.391633285624,4692.145069036817,369.08733334668386,1190.7534357511936,No
2015-10-23,4153.0,3627.80441494005,3025.6106054709367,4207.907519913763,525.1955850599502,1182.2969144428266,No
2015-10-24,1747.0,2235.7901721957337,1683.3294088029447,2819.2879530657083,-488.7901721957337,1135.9585442627636,No
2015-10-25,2493.0,2192.354995207241,1562.0068773872654,2766.07203024775,300.6450047927592,1204.0651528604844,No
2015-10-26,4133.0,4027.917137281979,3463.123898896195,4598.079184954373,105.0828627180208,1134.955286058178,No
2015-10-27,4463.0,4385.179002244638,3787.335240081275,4977.060406256534,77.82099775536244,1189.7251661752593,No
2015-10-28,3033.0,4237.999190068648,3674.655651544223,4794.793933352064,-1204.9991900686482,1120.1382818078414,No
2015-10-29,4339.0,4250.220417963024,3646.736260041329,4841.589175055948,88.77958203697563,1194.8529150146187,No
2015-10-30,2768.0,3886.911563862891,3313.1657952107907,4508.539465911285,-1118.911563862891,1195.3736707004946,No
2015-10-31,3029.0,2377.579174240409,1739.6448547802947,2947.3229367777026,651.420825759591,1207.6780819974078,No
2015-11-01,2499.0,2188.970311630715,1571.0075101162151,2813.423749783012,310.02968836928494,1242.416239666797,No
2015-11-02,4109.0,3949.323229037941,3338.8937835894426,4564.359985357143,159.67677096205898,1225.4662017677006,No
2015-11-03,4742.0,4115.535702373788,3515.796958870442,4706.790327842869,626.4642976262121,1190.9933689724276,No
2015-11-04,3143.0,4113.180747124079,3521.56770191008,4744.292020995538,-970.1807471240791,1222.7243190854583,No
2015-11-05,4366.0,4108.57032114795,3548.971769443223,4673.246339705875,257.4296788520496,1124.2745702626517,No
2015-11-06,3916.0,3797.9184804811184,3198.397037892731,4402.061155778956,118.08151951888158,1203.664117886225,No
2015-11-07,1331.0,2260.81316893456,1691.3397284678924,2851.406213158214,-929.81316893456,1160.0664846903217,No
2015-11-08,1846.0,2257.161033471991,1655.8875607309276,2877.032987613995,-411.1610334719908,1221.1454268830673,No
2015-11-09,4308.0,3754.386693547508,3129.4642483724183,4291.5690319342575,553.613306452492,1162.1047835618392,No
2015-11-10,4681.0,4033.580261613225,3450.065384509762,4663.082459126769,647.419738386775,1213.017074617007,No
2015-11-11,4538.0,3885.154085638485,3280.451068155435,4471.628519954596,652.845914361515,1191.1774517991612,No
2015-11-12,4579.0,3914.438787409845,3341.358005206116,4550.120002647963,664.5612125901548,1208.7619974418467,No
2015-11-13,4214.0,3461.638773773206,2859.6938171183874,4084.966701281741,752.3612262267939,1225.2728841633534,No
2015-11-14,660.0,2072.716035508391,1460.5797827891772,2623.765062545845,-1412.716035508391,1163.1852797566678,No
2015-11-15,1741.0,2309.046304525992,1705.4650099462408,2919.492314843263,-568.0463045259921,1214.0273048970223,No
2015-11-16,4086.0,3812.234744185408,3181.667342267313,4374.182586252805,273.7652558145919,1192.515243985492,No
2015-11-17,4243.0,4172.2857964663135,3539.275497280165,4786.797720348354,70.71420353368649,1247.5222230681893,No
2015-11-18,4455.0,4111.822331839276,3550.934785822965,4689.162692144373,343.17766816072435,1138.2279063214082,No
2015-11-19,4204.0,3949.3885023085454,3392.642875090569,4584.077841836382,254.6114976914546,1191.4349667458127,No
2015-11-20,3996.0,3390.3196568490425,2736.425219657689,4006.251481275025,605.6803431509575,1269.826261617336,No
2015-11-21,1267.0,1739.881102634293,1168.3079853286138,2357.5925949683847,-472.88110263429303,1189.284609639771,No
2015-11-22,1443.0,1753.3141374439024,1094.5641219218326,2341.6242713059664,-310.3141374439024,1247.0601493841339,No
2015-11-23,3919.0,3461.2622279345737,2840.660868789698,4086.207837812237,457.73777206542627,1245.546969022539,No
2015-11-24,3120.0,3763.4489114125327,3158.719036451463,4369.921785846808,-643.4489114125327,1211.202749395345,No
2015-11-25,4170.0,3703.987053634529,3109.643843378995,4282.377424250494,466.0129463654712,1172.7335808714993,No
2015-11-26,4203.0,3684.243621346865,3096.444129554481,4309.482770244639,518.756378653135,1213.038640690158,No
2015-11-27,3425.0,3471.426643386905,2844.358221118636,4104.691958815933,-46.4266433869052,1260.3337376972968,No
2015-11-28,1534.0,1919.8384489603584,1304.368477668833,2494.889922676601,-385.8384489603584,1190.521445007768,No
2015-11-29,1091.0,2201.0195206069075,1620.8193428095717,2754.659083865241,-1110.0195206069075,1133.8397410556693,No
2015-11-30,3650.0,3896.745441442187,3299.590030231488,4469.008271547989,-246.7454414421868,1169.4182413165013,No
2015-12-01,4185.0,4378.632852564444,3767.786442303126,4986.407256538937,-193.63285256444397,1218.620814235811,No
2015-12-02,4323.0,4116.173445222547,3534.3408823379827,4707.7129646050425,206.82655477745266,1173.3720822670598,No
2015-12-03,4369.0,3991.84282815738,3372.6940039163774,4550.974047828608,377.15717184261985,1178.2800439122302,No
2015-12-04,3739.0,3480.2205433313625,2874.576934504469,4047.062103754096,258.7794566686375,1172.4851692496268,No
2015-12-05,1480.0,1976.7704080185897,1368.5843708883317,2601.9008575444245,-496.7704080185897,1233.3164866560928,No
2015-12-06,1491.0,2085.509831456204,1500.0125935394983,2687.317632454866,-594.5098314562042,1187.3050389153675,No
2015-12-07,3999.0,3613.005276322509,2997.838945557017,4234.974638968964,385.99472367749104,1237.1356934119476,No
2015-12-08,3002.0,3833.502274401691,3233.3465911499507,4431.0696715236045,-831.502274401691,1197.7230803736538,No
2015-12-09,4208.0,3661.900639266798,3045.519809866122,4214.914514656847,546.099360733202,1169.394704790725,No
2015-12-10,4091.0,3636.836871290213,3030.430940922263,4235.96272075075,454.1631287097871,1205.5317798284873,No
2015-12-11,3452.0,3220.204303783836,2612.6027921231034,3805.0220874961815,231.79569621616383,1192.419295373078,No
2015-12-12,1409.0,1984.6881177468497,1378.658490320828,2537.18758876663,-575.6881177468497,1158.5290984458022,No
2015-12-13,1202.0,1986.4313272053648,1387.0587068297048,2548.1384213233214,-784.4313272053648,1161.0797144936166,No
2015-12-14,3761.0,3467.8555500735474,2860.240110964036,4051.723021439692,293.1444499264526,1191.482910475656,No
2015-12-15,3722.0,3891.996809770792,3264.4825781698423,4453.893842256086,-169.99680977079197,1189.4112640862436,No
2015-12-16,3771.0,3916.843847456725,3300.069494765043,4473.040024764969,-145.84384745672514,1172.9705299999255,No
2015-12-17,3910.0,3816.889749784263,3230.363700670291,4463.34548112619,93.11025021573687,1232.9817804558988,No
2015-12-18,3343.0,3186.9920967177604,2602.962375008828,3808.788098577868,156.00790328223957,1205.8257235690398,No
2015-12-19,1653.0,1737.3453169551024,1087.610762333901,2260.906021991748,-84.34531695510236,1173.2952596578468,No
2015-12-20,1333.0,1599.4488999344037,1010.6812066960708,2216.882252370666,-266.4488999344037,1206.201045674595,No
2015-12-21,2615.0,2840.30585934551,2272.4661223691164,3442.305219148605,-225.30585934550982,1169.8390967794885,No
2015-12-22,2350.0,2997.082389043584,2383.2482999553927,3562.241350948214,-647.082389043584,1178.9930509928213,No
2015-12-23,1896.0,2586.748388157608,1965.8133363421016,3211.9026658575176,-690.7483881576081,1246.089329515416,No
2015-12-24,898.0,2451.079097306811,1852.508904075744,3047.50477409667,-1553.079097306811,1194.995870020926,No
2015-12-25,2374.0,2040.6281125898488,1455.6353101233194,2640.572356676707,333.3718874101512,1184.9370465533875,No
2015-12-26,925.0,461.18917114017415,-155.52894334504904,1098.9692125517258,463.81082885982585,1254.498155896775,No
2015-12-27,894.0,394.94701339400416,-213.9391563221681,932.7661556495832,499.05298660599584,1146.7053119717514,No
2015-12-28,1529.0,1348.0478750054456,745.082976346666,1920.025063158944,180.95212499455442,1174.942086812278,No
2015-12-29,1409.0,2098.015203227473,1477.874353372445,2635.2426586326665,-689.0152032274732,1157.3683052602214,No
2015-12-30,1114.0,2183.897944188828,1603.4887087386414,2756.8257359074714,-1069.8979441888282,1153.33702716883,No
2015-12-31,1496.0,2158.942921732004,1613.396690202631,2752.807843126247,-662.9429217320039,1139.411152923616,No
2016-01-01,949.0,848.932127756862,221.5438213953804,1452.1747378552254,100.06787224313803,1230.6309164598451,No
2016-01-02,810.0,618.2952767871956,-1.982550898183513,1189.0317514279247,191.70472321280442,1191.0143023261082,No
